ན་སིད་དྷི་,ན་སིད་དྷི་
རྣམས་ཏཀྱི་,རྣམས་ཀྱི་
ཀྴྲ་མེ་བྷ་,ཀྴྲ་མེ་བྷ་
པ་ཤ་ཱ,པ་ཤཱ
འགྲུས་ཀྱིས་ཟློམ་,འགྲུས་ཀྱིས་རློམ་
ཨོྃ་ཧྲཱི༔ཨཱ་,ཨོྃ་ཧྲཱིཿཨཱ་
དེ་དང༌།,དེ་དང་།
ནཱ་,ནྶ་
ས་མཱ་དྷི་,ས་མཱ་དྷི་
ལྐཱ་ཡེེ།,ལྐཱ་ཡཻ།
ཱདན,ྦ་དན
ལ་,ས་
འཛིན་དང༌།,འཛིན་དང་།
པཱ་དཱུ་,པཱ་དཱུ་
ཌསྥེ།,ཌབྶེ།
ནི་དཱུར་,ནི་དཱུར་
སིད་དྷེ།,སིད་དྷེ།
ན་ཡ་ཀྵུ་,ན་ཡ་ཀྵུ་
ཏུ་སྤྱིན།,ཏུ་སྦྱིན།
ཕྱིར་དེ་གཞིན་,ཕྱིར་དེ་བཞིན་
དེ་ཉིདེ་ཉིད་,དེ་ཉིད་
དྷརྨྨཱ་,དྷརྨྨཱ་
ྃ་ཙཾོཾ་,ྃ་ཙཽཾ་
བའི་ཚེད་,བའི་ཚད་
བ་ར་དྷརྨྨ་,བ་ར་དྷརྨྨ་
སྦྱིན་པའི་་ཕ་,སྦྱིན་པའི་ཕ་
དང་,ཏུ་
གཞོམ་དང༌།,གཞོམ་དང་།
ནྱ་གྲོ་དྷར་,ནྱ་གྲོ་དྷར་
རི་བརྟ་བྷ་,རི་བརྟ་བྷ་
ཅན་ཛྃ་བྷ་,ཅན་ཛྃ་བྷ་
ཡ་ནྱ་དྷཱ་,ཡ་ནྱ་དྷཱ་
བྱང་ཆུབ་ཙུལ་,བྱང་ཆུབ་ཚུལ་
ས་རུ་དྷི་,ས་རུ་དྷི་
ཤི་ཧཱུུྃ་,ཤི་ཧཱུྃ་
བྷན་,བྷན་
སམ་བི་དྷ།,སམ་བི་དྷ།
ལ་གནསས་,ལ་གནས་
སི་ལོ་བྷོ་,སི་ལོ་བྷོ་
བཞིན་སཏོ,བཞིན་སྟོ
བསྐྱེད་པའ་,བསྐྱེད་པ་
།ཀོོ་,།ཀཽ་
དེ་པ་ཪྀ་,དེ་པ་རྀ་
སོོ།,སཽ།
རབ་སྦྱོར་པའོ།,རབ་སྦྱོར་བའོ།
དྷ་བོ་དྷི་,དྷ་བོ་དྷི་
ལ་སྤྲན་,ལ་སྦྲན་
བྱེད་པའི་,བྱེད་པས་
ཎ་ཡ་བྷཻ་,ཎ་ཡ་བྷཻ་
པ་དང་ༀ་,པ་དང་ཨོཾ་
གོོ་,གཽ་
ལྟ་,ལྷ་
པྲ་བཱ་དྷ་,པྲ་བཱ་དྷ་
པ་(མད,པ་མད
མཾ་ཧཱུྃཨ་,མཾ་ཧཱུྃཨ་
རིའི་བུ༌ནང་,རིའི་བུ་ནང་
ཀུ་གྷུ་,ཀུ་གྷུ་
བྱ་ཞིང༌ཕྱིར་,བྱ་ཞིང་ཕྱིར་
ོ་ཥེ་བྷཱ་,ོ་ཥེ་བྷཱ་
་མེ་གྷ།,་མེ་གྷ།
མས་སྦྲུལ་,མས་སྤྲུལ་
་མ།,མ།
རཱུརྱཱ་,ཌཱུརྱཱ་
དྱཱ་དྷ་,དྱཱ་དྷ་
མུག་དང༌གཏི་,མུག་དང་གཏི་
ར་རཱུ་,ར་རཱུ་
བྱེད་ཅིང༌ཕྱི་,བྱེད་ཅིང་ཕྱི་
སྐ་རཱ་བྷྲ་,སྐ་རཱ་བྷྲ་
།ཪ་,།ར་
བ་པཱུ་,བ་པཱུ་
བྱིན་ཡང༌།,བྱིན་ཡང་།
སརྦ་ཀྲོ་དྷ།,སརྦ་ཀྲོ་དྷ།
སཏྱ་ཨ་དྷིཥྛཱ་,སཏྱ་ཨ་དྷིཥྛཱ་
ལཀྵ་,ལཀྵ་
་ཟས་,་ཟན་
བྲྀ་ཥ་བྷ་,བྲྀ་ཥ་བྷ་
ལ་སྨྱུུང་,ལ་སྨྱུང་
གྲཱ་ཧཱུྃ་,གྲཱ་ཧཱུྃ་
མཿསཾ་གྷཱ་,མཿསཾ་གྷཱ་
ེད་པ་ཡང་དག་,་
རྗེ་ཆརམ་,རྗེ་ཆེན་
ཉི,ཡི
སོ་བྷཉྫ་,སོ་བྷཉྫ་
ཊ་སྲ་བྷཱི་,ཊ་སྲ་བྷཱི་
མྦྷ་,མྦྷ་
)ནས་,ནས་
ཤིག་དང༌།,ཤིག་དང་།
ཙ་མུཎྜེ་དྷུ་,ཙ་མུཎྜེ་དྷུ་
་རཱིའི་བྷ་,་རཱིའི་བྷ་
དེ་ལ་ཀྵ་,དེ་ལ་ཀྵ་
ཙི་ཏྲེེཿ།,ཙི་ཏྲཻཿ།
གྲྀ་བ་ཪི་,གྲྀ་བ་རི་
་ར་དྷཱ་,་ར་དྷཱ་
རབ་དང༌རི་,རབ་དང་རི་
བ་བཱི་ཀྵ་,བ་བཱི་ཀྵ་
དག་དང༌ལྷོ་,དག་དང་ལྷོ་
ཏེ་ཡུམ་་གྱི་,ཏེ་ཡུམ་གྱི་
༡༥༡ །བྷེ་,༡༥༡ །བྷེ་
བེེཌཱུརྱ་,བཻཌཱུརྱ་
བྷྲི་,བྷྲི་
ཨོྃ་བཛྲ་པེེ་,ཨོྃ་བཛྲ་བཻ་
ལི་དྷ་,ལི་དྷ་
གཙང་སྤྲ་,གཙང་སྦྲ་
གརྫཛ་,གརྫྫ་
ཀེ་ཏུ་དྷཱ་,ཀེ་ཏུ་དྷཱ་
མཆོག་སྤྱིན་,མཆོག་སྦྱིན་
བརྟོགས་,རྟོགས་
སྟེ་བཅྭོ་,སྟེ་བཅྭ་
ཤྲཱིི་,ཤྲཱི་
བས་ན་བྷ་,བས་ན་བྷ་
ཤིག་ཧཱུཾ་,ཤིག་ཧཱུཾ་
གྲུ་དང༌།,གྲུ་དང་།
ཤེས་ཀོོཎྜི་,ཤེས་ཀཽཎྜི་
པོའི་རྒྱུད་རིག་,"པོའི་རྒྱུད(,། )རིག་"
ཀཱརྱ་སཱ་དྷ་,ཀཱརྱ་སཱ་དྷ་
)རིགས་,རིགས་
བྲང་ཏུ་,བྲང་དུ་
བསྔགས་ཀྱང༌།,བསྔགས་ཀྱང་།
ན་ཏི་ཛྷ་,ན་ཏི་ཛྷ་
ཆགས་གོ་དྷཱ་,ཆགས་གོ་དྷཱ་
བྷྱོ་ཧཱུྃ།ཨོྃ ལྷའི་,བྷྱོ་ཧཱུྃ། ལྷའི་
པ་དང༌ཕྲ་,པ་དང་ཕྲ་
ཤེས་ཤིང༌།,ཤེས་ཤིང་།
ཀུམ་དང༌།,ཀུམ་དང་།
རྐྱང་གྱི་,རྐྱང་གི་
བས,ཡིས
ཤེས་བར,ཤེས་ར
ལ་ཨཱ༔ནི་,ལ་ཨཱཿནི་
ཚཻམས་,ཚེམས་
མཆོག་,གདུག་
གཤེགས,སྔགས
ལ་གཅང་,ལ་གཅད་
ཆོས,ས
སྱཻ་སྟཾ་བྷཱ་,སྱཻ་སྟཾ་བྷཱ་
ཀ་ལཱུ་,ཀ་ལཱུ་
མོ་རྣམས་།,མོ་རྣམས།
ཨཱཏྨ་ཀོཉ་,ཨཱཏྨ་ཀོ྅་
ཨརྦྦ་སཱ་དྷ་,ཨརྦྦ་སཱ་དྷ་
སྟམ་བྷེ།,སྟམ་བྷེ།
དམིགས་པའི་ཙུལ་,དམིགས་པའི་ཚུལ་
ཏྲཱཾ་ཏྲཱྱཾ་,ཏྲཱཾ་ཏྲྰྱཾ་
ཨད་བྷཱུ་,ཨད་བྷཱུ་
ཎ་ཛཱུ་,ཎ་ཛཱུ་
་ས་མ,་སམ
པ་དང༌ཞབས་,པ་དང་ཞབས་
བཛྲ་རཀྵ།,བཛྲ་རཀྵ།
བང་སྦྲིངས་,བང་སྤྲིངས་
མེད་པ་་,མེད་པ་
ཧེ་ཧོོ་,ཧེ་ཧཽ་
ཟངས་དང༌།,ཟངས་དང་།
སིད་དྷི།,སིད་དྷི།
པ་བསྙེད་,པ་བསྙེན་
ེ་བུད་དྷེ།,ེ་བུད་དྷེ།
ཚོམ་དང༌།,ཚོམ་དང་།
ཕ་,པ་
ལྡང་ངོ༌།,ལྡང་ངོ་།
དྭ་གུམ་བྷེ།,དྭ་གུམ་བྷེ།
ཀ་ཁ་གྷ།,ཀ་ཁ་གྷ།
ཆེན་དང༌།,ཆེན་དང་།
བཛྲ་དྷྲྀ་ཀ་,བཛྲ་དྷྲྀཀ་
བགྲེད་,བགྲོད་
ཅི,ཉི
ཡིན་པ་་ཐམས་,ཡིན་པ་ཐམས་
ཨ་དྷིཥྛི་,ཨ་དྷིཥྛི་
བཏང་ངོ༌།,བཏང་ངོ་།
)སྤོངས་,སྤོངས་
ལ་ཙ་རྩི,ལ་ཙརྩི
སྐྱེས་ཙཱུ་,སྐྱེས་ཙཱུ་
ཆེ་བཻདཱུ་,ཆེ་བཻདཱུ་
མི་ཏཱ་བྷཱ་,མི་ཏཱ་བྷཱ་
མཐའ་དག་ཆིམ་,མཐའ་དག་ཚིམ་
བསྒྲུབས་ཀྱང༌།,བསྒྲུབས་ཀྱང་།
སམ་པཱུ་,སམ་པཱུ་
ཌཱུརྱའི་,ཌཱུརྱའི་
ཧཱ་ཀལྤ་ར་,ཧཱ་ཀལྤ་
སརྦ་ཤུ་བྷཾ་,སརྦ་ཤུ་བྷཾ་
ཛི་ན་བྷ་,ཛི་ན་བྷ་
རྣམས་དང༌དགེ་,རྣམས་དང་དགེ་
མན་ཏ་བྷ་,མན་ཏ་བྷ་
འདེབས་དང༌།,འདེབས་དང་།
བཻ་ཌཱུརྱའི།,བཻ་ཌཱུརྱའི།
ལྟ་སྟེ་།,ལྟ་སྟེ།
མཆིས་ཀྱང༌།,མཆིས་ཀྱང་།
སྲོག་གཅོད་(པ་,སྲོག་གཅོད་པ་
་ཏ་གྷོ་,་ཏ་གྷོ་
ཞིང་,བླང་
ཧཱ་བོ་དྷི།,ཧཱ་བོ་དྷི།
ཆེས་ཤིང༌།,ཆེས་ཤིང་།
བི་་བ་,བི་བ་
དཱི,དཱ
ྃ་དང་ༀ་,ྃ་དང་ཨོཾ་
པ་བཏང༌།,པ་བཏང་།
ཤྲྭི་,ཤྲཱི་
སྒོམ་ཡང༌།,སྒོམ་ཡང་།
ཚུར་ཤེག(ཤོག) །,ཚུར་ཤེག །
བི་བྷྲི་,བི་བྷྲི་
།་འོད་,།འོད་
ཨོཾ་ཤཱུ་,ཨོཾ་ཤཱུ་
ཀརྛནྟུ་སིདྡྷིར,ཀརྛནྟུ་སིདྡྷིར
ཧུ་ཧཱུ་,ཧུ་ཧཱུ་
ལྡན་པ་ཪང་,ལྡན་པ་རང་
ཀུ་ལན་དྷཱ་,ཀུ་ལན་དྷཱ་
ནང་ནས་,ནང་ན་
བུའི་སྐབས་གྱི་,བུའི་སྐབས་ཀྱི་
པའང་རུང༌།,པའང་རུང་།
ཚིམ་བྷོ།,ཚིམ་བྷོ།
དཱུརྱའི,དཱུརྱའི
།དྷཱུ་,།དྷཱུ་
པཱཏྨ་ཛཿཧཱུྃ།,པཱཏྨ་ཛཿཧཱུྃ།
ཨད་བྷུ་,ཨད་བྷུ་
བྱ་བའིི་,བྱ་བའི་
་ཡ་དྷ་,་ཡ་དྷ་
དག་ན་།,དག་ན།
ན་མཿས་,ནམཿས་
རུཀྟེ་པྲ་བྷེ།,རུཀྟེ་པྲ་བྷེ།
སརྦ་སད་དྷེ་,སརྦ་སད་དྷེ་
བི་ཤུད་དྷ་,བི་ཤུད་དྷ་
།བྷཀྵ་,།བྷཀྵ་
ཏུ་སྤོང༌།,ཏུ་སྤོང་།
ནི་ཧྲཱི༔ནི་,ནི་ཧྲཱིཿནི་
རབ་འབྱོར༌ཡང་,རབ་འབྱོར་ཡང་
ན་དེ་བྷན་,ན་དེ་བྷན་
ནས་མེེ་,ནས་མཻ་
ཏྲ་རཱུ་,ཏྲ་རཱུ་
ཡིན་ཞིང༌ཉེས་,ཡིན་ཞིང་ཉེས་
པཱ་ཤ་བྷན་,པཱ་ཤ་བྷན་
ནི་སྤྱར།,ནི་སྦྱར།
ནི་ཙི་ག,ནི་ཙིག
ཆུབ་གྱི་,ཆུབ་ཀྱི་
མངོར་,མངོན་
རྗོད་ཅིང༌རྗེས་,རྗོད་ཅིང་རྗེས་
སྒྲ་འཕྱིན་,སྒྲ་འབྱིན་
སོང་ནས།་སྤོས་,སོང་ནས། སྤོས་
དབུས་སུ་བྷ་,དབུས་སུ་བྷ་
བྱད་གྱི་་དངོས་,བྱད་གྱི་དངོས་
པ་་དང་,པ་དང་
སྡང་དང༌གཏི་,སྡང་དང་གཏི་
ཨུཏྟ་ར་བྷདྲ་,ཨུཏྟ་ར་བྷདྲ་
མཿཨཱཪྱཱ་,མཿཨཱརྱཱ་
ཡ་དཱྷ,ཡ་དྷ
ཡ་ཐེེ་,ཡ་ཐཻ་
སརྦ་བྷཱུ་,སརྦ་བྷཱུ་
དཏྟཱ་ཡེེ་,དཏྟཱ་ཡཻ་
ཏྱ་བུད་དྷ་,ཏྱ་བུད་དྷ་
བཛྲ་པདྨ་བྷཌྜ་,བཛྲ་པདྨ་བྷཌྜ་
སླ་ཞིང༌ཁྱིམ་,སླ་ཞིང་ཁྱིམ་
ཅད་,རྩི་
བ་སྦུའི་,བ་སྤུའི་
བིཛྫ་དྷ་,བིཛྫ་དྷ་
སྲ་པ་དྷརྨེ།,སྲ་པ་དྷརྨེ།
ཚོགས་དང༌།,ཚོགས་དང་།
བས་ན་ཛྷ་,བས་ན་ཛྷ་
ཁྲི་འཕང་ཀྱི་,ཁྲི་འཕང་གི་
སྔོན་་,སྔོན་
པའི་་རྐྱེན་,པའི་རྐྱེན་
བི་ཤྨཡ་,བི་ཤྨྱ་
རྒྱས་འཇིན་,རྒྱས་འཇིག་
གཞན་་གྱིས་,གཞན་གྱིས་
ས་,།རང་
ཆེའི་སྟེགསོ་,ཆེའི་སྟེགས་
་སིདྷ་,་སིདྷ་
པོ་ཧཱུྃ་,པོ་ཧཱུྃ་
ན་ང་)གང་,ན་ང་གང་
ཎ་ཡེེ།,ཎ་ཡཻ།
བ་དང༌་,བ་དང་
སྡོད་)པར་,པར་
སློང་གང༌བ་,སློང་གང་བ་
བྱུང་ཞིང༌།,བྱུང་ཞིང་།
ཡང་ཀ་ོ,ཡང་ཀོ
ཎ་ཨ་དྷི་,ཎ་ཨ་དྷི་
བ་དང༌བག་,བ་དང་བག་
མེད་དེ་།,མེད་དེ།
་པཱུརྞྞ་,་པཱུརྞྞ་
སྤྱོད་ཀྱང༌།,སྤྱོད་ཀྱང་།
མཆོག་དང༌བསོད་,མཆོག་དང་བསོད་
དག་པར་་ན་,དག་པར་ན་
ཁམས་གན་དྷ་,ཁམས་གན་དྷ་
རུ་ཧཱུྃ།,རུ་ཧཱུྃ།
ཎཱཾ།ཧཱུྃ་,ཎཱཾ།ཧཱུྃ་
སུ་རུང༌།,སུ་རུང་།
པོ་ཡང་་མི་,པོ་ཡང་མི་
ལ་བི་བྷ་,ལ་བི་བྷ་
ཤིག །དྷུ་,ཤིག །དྷུ་
སུ་གསུ་གསོལ།,སུ་གསོལ།
གཅིག་པུ་བྷ་,གཅིག་པུ་བྷ་
ནེ༌ལྷང་,ནེ་ལྷང་
ད་བྷཉྫསྥོ་,ད་བྷཉྫསྥོ་
པར་རྫོགས,ས
བཤེས་དང༌།,བཤེས་དང་།
བན་སཱི་གྷྲཾ་,བན་སཱི་གྷྲཾ་
བར་དང༌།,བར་དང་།
ན་,ས་
ཱི་ཡཀྵི་,ཱི་ཡཀྵི་
ན་བན་དྷོ་,ན་བན་དྷོ་
ྞ་མ་ཀྵི་,ྞ་མ་ཀྵི་
ར་ཎི་བྷན་,ར་ཎི་བྷན་
གོ་དྷ་,གོ་དྷ་
པ་ཡ་བྷ་,པ་ཡ་བྷ་
་དུཿ་ཁེ་,་དུཿཁེ་
པི་ཙི་ཀུཎྜ་,པི་ཙིཀུཎྜ་
པོ་སྦྱན་,པོ་སྤྱན་
མྱེད་པརས་,མྱེད་པར་
སུཾ་བྷཱ་,སུཾ་བྷཱ་
ཡནྟྲཱ་ཧཱུྃ་,ཡནྟྲཱ་ཧཱུྃ་
སརྦྦ་དྷརྨྨཱ་,སརྦྦ་དྷརྨྨཱ་
ོན་,ང་
མེེཻ་,མཻ་
བྱེད་ཅིང༌ཁུ་,བྱེད་ཅིང་ཁུ་
ཁྱེར་དང༌།,ཁྱེར་དང་།
ཡ་བྲྀ་ཀྵ་,ཡ་བྲྀ་ཀྵ་
པ་ནི༌ཤེས་,པ་ནི་ཤེས་
རེ་ཧཱུ་,རེ་ཧཱུ་
རྗེ་ཧཱུྃ་,རྗེ་ཧཱུྃ་
ལ་,མིང་
སྤྱོད་པའིི་,སྤྱོད་པའི་
དྲང་སྲོང་བྷ་,དྲང་སྲོང་བྷ་
ཞིག་དང༌།,ཞིག་དང་།
བཱིཪྱཱ་,བཱིརྱཱ་
བྱས་པའོ།ཨོྃ །,བྱས་པའོ། །
ཟེར་ཞིང༌།,ཟེར་ཞིང་།
ལའི་ཤིང་་བར་,ལའི་ཤིང་བར་
ས་ཧ་ཀྵཿ།,ས་ཧ་ཀྵཿ།
ཏིཥྛ་ཏིཥྛ་དྷཱ་,ཏིཥྛ་ཏིཥྛ་དྷཱ་
ཆོས་བགྲ་ོ,ཆོས་བགྲོ
དང་མཚུངས་།,དང་མཚུངས།
ལ་པྲ་བྷེ་,ལ་པྲ་བྷེ་
པ་དང༌སྐྱེ་,པ་དང་སྐྱེ་
ཤེས་་ལྡན་,ཤེས་ལྡན་
ཕྱིར་ཙཱུ་,ཕྱིར་ཙཱུ་
བཞག་ཅིང༌བཅོམ་,བཞག་ཅིང་བཅོམ་
གོང་བ་་མེད་,གོང་བ་མེད་
པ་མ་)ཡིན་,པ་མ་ཡིན་
ཚཱ་ཛཱ་ཛྷཱ།,ཚཱ་ཛཱ་ཛྷཱ།
ནི་སུམ་བྷ་,ནི་སུམ་བྷ་
ཐུགས་རྗེའིི་,ཐུགས་རྗེའི་
དེ་ཚེ་་འཕོས་,དེ་ཚེ་འཕོས་
བ་,པ་
དྲུས་དང༌།,དྲུས་དང་།
ཀུན་ཤམྦྷ་,ཀུན་ཤམྦྷ་
པར་བརྫོད།,པར་བརྗོད།
ཤོས་འདོད་,ཤོས་འདོང་
ཤྲིངྒཱ་ཡེེ་,ཤྲིངྒཱ་ཡཻ་
ཞིག་གཡེན་,ཞིག་གཡན་
མ་དཱུར་,མ་དཱུར་
ཝཱ་ཤཱི,ཝཱ་ཤཱ
གུ་དྷ་,གུ་དྷ་
ནི་རབ་ཆིམ་,ནི་རབ་ཚིམ་
ཧཱ་བཛྲ་དྷ་,ཧཱ་བཛྲ་དྷ་
མཱ་ལེེ་,མཱ་ལཻ་
ཏུ་སཱུརྱ་,ཏུ་སཱུརྱ་
སྣང་ངོ༌།,སྣང་ངོ་།
པ་མཆིག་,པ་མཆོག་
དང་གཙུགས་,དང་གཙུག་
བུདྡྷྱ་,བུདྡྷྱ་
ཀེ་ཡཱུ་,ཀེ་ཡཱུ་
་རྞྞཾ།,རྞྞཾ།
མ་ཧཱ་བྷ་,མ་ཧཱ་བྷ་
གཏ,ཏ་ཝ་ཏ
སྙུན་གྱིས་(ཐེབས,སྙུན་གྱིས་ཐེབས
།་ཡིད་,།ཡིད་
ཏུ་སྤྱར་,ཏུ་སྦྱར་
བྱེད་དང༌རིག་,བྱེད་དང་རིག་
ཕྱོགས་ཀྱི་་ཆོས་,ཕྱོགས་ཀྱི་ཆོས་
དཾཥྚཱ་བྷ་,དཾཥྚཱ་བྷ་
མངོན་པཪ་,མངོན་པར་
ཉན་,དཀོན་
ཨཱཿབཛྲ་དྷྲྀ་ཀ་,ཨཱཿབཛྲ་དྷྲྀཀ་
ཏེ་,ཀྱང་མངོན་དུ་
དི་ཏེམ།,དི་ཏེ།
མ་བནྡྷ་,མ་བནྡྷ་
དཀྱིས་,ཀྱིས་
ཏུ་རྟོག་།,ཏུ་རྟོག །
དག་པའི་,དག་པས་
བྱང་ཆུབ་གྱི་,བྱང་ཆུབ་ཀྱི་
བས་ན་དྷ་,བས་ན་དྷ་
སེམས་འདིག་,སེམས་འདི་
བིདྱཱ་ཙཱརྻེ་,བིདྱཱ་ཙཱཪྻེ་
་རྟེན་,་རྨོངས་
པར་བྱེད་།,པར་བྱེད།
ཱ་ས་བྷ་,ཱ་ས་བྷ་
་བི་གྷྲ་,་བི་གྷྲ་
བུ་སྐྱེས་(བུ་,བུ་སྐྱེས་བུ་
བརྩོན་འགྲུས་གྱི་,བརྩོན་འགྲུས་ཀྱི་
རི་པཱུ་,རི་པཱུ་
པར་ནི་བྷ་,པར་ནི་བྷ་
སྡུག་,།པདྨའི་
ཧཱ་རོོ་,ཧཱ་རཽ་
ཧ་བནྡྷ་,ཧ་བནྡྷ་
ཊ་ཧཱུཾ།,ཊ་ཧཱུཾ།
དོན་འདི་་ཡོངས་,དོན་འདི་ཡོངས་
བཱ་ལ་བྷཱ་,བཱ་ལ་བྷཱ་
ཛཱ་པ་རིནཱ་,ཛཱ་པཉྩ་
ཡ་བཀྵར་,ཡ་བཀྵར་
་བ,ློབ
ཀྲ་བ་བྷེ།,ཀྲ་བ་བྷེ།
དུ་སིན་དྷུ་,དུ་སིན་དྷུ་
བླུགས་དང༌།,བླུགས་དང་།
ཏ་ཤུད་དྷ།,ཏ་ཤུད་དྷ།
དང་བེེ་,དང་བཻ་
རི་ལ་བྷྲིང་,རི་ལ་བྷྲིང་
ཡུལ་པཱུརྞ་,ཡུལ་པཱུརྞ་
ཙན་དྲ་བ་,ཙན་དྲ་པ་
ག་ཧཱུྃ་་,ག་ཧཱུྃ་
བས,ས
དང༌དངུལ་,དང་དངུལ་
བཻ་ཌཱུརྻ།,བཻ་ཌྰུཪྻ།
ག་རྭ་,ག་རཱ་
སེ་དྷ་,སེ་དྷ་
སཾ་གྷ་,སཾ་གྷ་
་ཧྲཱིཾ་,་ཧྲཱིྃ་
བསོད་སྙོམས་པསྐྱལ་,བསོད་སྙོམས་བསྐྱལ་
ི་ལྡ་ལྡི་ད,ེད
ཙ་རཱ་བྷན་,ཙ་རཱ་བྷན་
དང༌ལྷ་,དང་ལྷ་
པ་དང༌རབ་,པ་དང་རབ་
པ་ན་།,པ་ན།
ཛྫ་ཧཱུྃ་,ཛྫ་ཧཱུྃ་
ལ་བཻཌཱུརྱ་,ལ་བཻཌཱུརྱ་
སྦྲུལ་དང༌པད་,སྦྲུལ་དང་པད་
པ་འཇིགས་འཇེགས་སུ་,པ་འཇིགས་སུ་
རྡོམ་,རྔོམ་
བྃ་ཧོ༔།,བྃ་ཧོཿ།
ཨཱ་རྱ་,ཨཱརྱ་
དང་ཛམ་བྷ་,དང་ཛམ་བྷ་
ཎ་པཱུ་,ཎ་པཱུ་
ཀྲྀ་ཀ་བྷཱི་,ཀྲྀ་ཀ་བྷཱི་
གནས་དང༌ལྷག་,གནས་དང་ལྷག་
ལ་ཤཪ་,ལ་ཤར་
ང་ག,ག
ཤ་ཏྲཱུཾ་,ཤ་ཏྲཱུཾ་
སྦྱིན་ཞིང༌།,སྦྱིན་ཞིང་།
བའི་བཅིིངས་,བའི་བཅིངས་
་བྱཱུ་,་བྱཱུ་
ཕྱིན་པ་་པ་,ཕྱིན་པ་པ་
ཕྱུག་ཆནཆེན་,ཕྱུག་ཆེན་
ཤི་ཀྵ་,ཤི་ཀྵ་
ལྟ་བུ་།,ལྟ་བུ།
གུ་རཀྵེ་,གུ་རཀྵེ་
ནི་དཔང་,ནི་དབང་
ཀྱ,བྱ
ཪྱའི་,རྱའི་
བཛྲ་ཨ་དྷི་,བཛྲ་ཨ་དྷི་
་ཧཱུྃ་,་ཧཱུྃ་
བི་ཏི་བྷ་,བི་ཏི་བྷ་
ྨོན་,་
ཏུ་རྣམ་བར་,ཏུ་རྣམ་པར་
པ་སྦོང་,པ་སྤོང་
ནཱ་བྷོོ་,ནཱ་བྷཽ་
་ཧཱུཾ་,་ཧཱུཾ་
པ་ཤམ་བྷ་,པ་ཤམ་བྷ་
ཟེར་ཞིང༌དེ་,ཟེར་ཞིང་དེ་
རེནྡྲ་བོ་དྷི་,རེནྡྲ་བོ་དྷི་
གན་དྷཱ་,གན་དྷཱ་
གར་སོང༌།,གར་སོང་།
མུ་ཁེ་བྷྱཿ,མུ་ཁེ་བྷྱཿ
སྐར་པཱུར་,སྐར་པཱུར་
དྲན་སྦྱོར་པ་,དྲན་སྦྱོར་བ་
ཧེ་བཿཧཱུྃ་,ཧེ་བཿཧཱུྃ་
གཤེགས་མཛོད་(ས,གཤེགས་མཛོད་ས
པཀྵུའི་,པཀྵུའི་
རྗེ་སྨྲཪ་,རྗེ་སྨྲར་
འབེབས་ཤིང༌།,འབེབས་ཤིང་།
སརྦ་དྷ་,སརྦ་དྷ་
རྒྱུད་ཆུང་དུ་,རྒྱུད་ཆུང་ངུ་
ཥྚཱནྟ་སཱུ་,ཥྚཱནྟ་སཱུ་
གྷུ་ཌུ་གྷུ་,གྷུ་ཌུ་གྷུ་
པ་མངོན་བརཔར་,པ་མངོན་པར་
རོལ་ཏུ་པྱིན,རོལ་ཏུ་ཕྱིན
་ནོད་བ་,་ནོད་པ་
པུ་གན་དྷ།,པུ་གན་དྷ།
ནཱི་སཉྩཱ་ཪྱཾ།,ནཱི་སཉྩཱ་རྱཾ།
སྤོང་བ༌་,སྤོང་བ་
གྷུཾ།,གྷུཾ།
དངུལ་དང༌།,དངུལ་དང་།
བཱ་ལ་བྷཉྫ་,བཱ་ལ་བྷཉྫ་
དུག་བསྡུ་པ་,དུག་བསྡུ་བ་
ཡང་དག་་པར་,ཡང་དག་པར་
ཚིག་སྔོམ་,ཚིག་སྡོམ་
པ་དང༌དེ་,པ་དང་དེ་
ལས་གོོ་,ལས་གཽ་
མནྟ་བུད་དྷཱ་,མནྟ་བུད་དྷཱ་
ལ་ཧཱུྃ་,ལ་ཧཱུྃ་
ྈྐླྀ་ྈྐཾ།།ཤ་,ྈྐླྀ་ྈྐཾ། ཤ་
ཧུ་རཱུ།,ཧུ་རཱུ།
བྃ་ཧོ༔ ཤྲཱི་,བྃ་ཧོཿ ཤྲཱི་
ཧྃ་ཧ༔རུ་,ཧྃ་ཧཿརུ་
ཨོྃ་བེེ་,ཨོྃ་བཻ་
ཙ་ན་དྷཱིཿསྭཱ་,ཙ་ན་དྷཱིཿསྭཱ་
བྱས་ལ།་ཨོཾ་,བྱས་ལ། ཨོཾ་
སྐྱེས་ཤིང༌།,སྐྱེས་ཤིང་།
ཚིག་དང༌།,ཚིག་དང་།
་སཱ་དྷི་,་སཱ་དྷི་
ཨཱ་བི་བྷ་,ཨཱ་བི་བྷ་
ན་བིགྷཱ་,ན་བིགྷཱ་
ཚེ་ཀཱ་(ཏྱཱ་,ཚེ་ཀཱ་ཏྱཱ་
བའོ་ཞེས་ཌྷའི་,བའོ་ཞེས་ཌྷའི་
མོ་ཀྵ་,མོ་ཀྵ་
དྭགས་,དགས་
བན་དྷ།,བན་དྷ།
ཁང་དང༌།,ཁང་དང་།
ཨོྃ་ཧྲཱི༔ཀྲོཉྩ་,ཨོྃ་ཧྲཱིཿཀྲོཉྩ་
མཿསརྦ་བུདྡྷ་,མཿསརྦ་བུདྡྷ་
ཡ་ཧཱུྃ་,ཡ་ཧཱུྃ་
དག་འཕྱང༌།,དག་འཕྱང་།
ུ་མེ་གྷུ་,ུ་མེ་གྷུ་
